Top sto besed,Frekvenca besed v celotni knjigi
og,4352
det,3453
på,3029
han,2965
i,2769
som,2197
en,2183
var,2050
at,1889
hadde,1758
å,1690
til,1686
ikke,1623
harry,1610
hun,1377
av,1367
er,1364
med,1348
så,1311
den,1270
jeg,1270
seg,1168
sa,1116
du,1103
de,1080
for,932
et,906
men,859
om,856
har,720
fra,594
ut,569
ham,531
da,507
opp,501
vi,461
hva,444
mot,439
bare,431
noe,404
inn,391
over,377
kunne,363
der,329
kom,326
henne,325
gikk,318
hans,315
nå,300
ville,299
etter,293
eller,290
igjen,279
katrine,278
skulle,274
dem,273
noen,263
kan,257
ble,255
meg,252
deg,248
ned,247
ved,243
hennes,242
andre,237
dette,232
hvor,229
to,222
mathias,220
her,215
før,215
ha,212
være,211
vil,204
selv,204
vært,204
visste,199
sto,196
kjente,194
fikk,193
støp,193
alle,187
siden,184
se,180
ja,178
sin,177
mens,175
skal,175
alt,174
måtte,168
rundt,166
spurte,164
ingen,164
la,164
når,162
skarre,160
hodet,159
under,153
hagen,152
jo,152
