Top sto besed,Frekvenca besed v DELU I
og,1004
det,753
på,610
han,588
i,652
som,506
en,488
var,482
at,350
hadde,468
å,357
til,387
ikke,340
harry,285
hun,401
av,315
er,246
med,272
så,274
den,303
jeg,160
seg,289
sa,195
du,205
de,222
for,190
et,221
men,202
om,177
har,132
fra,138
ut,126
ham,91
da,91
opp,109
vi,52
hva,83
mot,91
bare,87
noe,79
inn,84
over,105
kunne,72
der,88
kom,58
henne,68
gikk,75
hans,71
nå,64
ville,69
etter,63
eller,65
igjen,80
katrine,40
skulle,55
dem,48
noen,47
kan,32
ble,41
meg,42
deg,53
ned,58
ved,53
hennes,55
andre,60
dette,44
hvor,53
to,35
mathias,19
her,46
før,47
ha,50
være,47
vil,33
selv,53
vært,61
visste,43
sto,45
kjente,46
fikk,38
støp,3
alle,34
siden,51
se,41
ja,20
sin,39
mens,45
skal,34
alt,35
måtte,31
rundt,37
spurte,39
ingen,54
la,25
når,33
skarre,74
hodet,19
under,39
hagen,29
jo,27
