Top sto besed,Frekvenca besed v DELU II
og,770
det,654
på,600
han,463
i,496
som,396
en,445
var,307
at,345
hadde,261
å,292
til,294
ikke,330
harry,326
hun,186
av,255
er,311
med,261
så,232
den,202
jeg,308
seg,187
sa,227
du,229
de,205
for,175
et,179
men,163
om,155
har,169
fra,116
ut,102
ham,76
da,90
opp,82
vi,123
hva,107
mot,69
bare,94
noe,92
inn,76
over,60
kunne,49
der,73
kom,63
henne,49
gikk,56
hans,50
nå,51
ville,49
etter,62
eller,62
igjen,39
katrine,87
skulle,44
dem,57
noen,53
kan,82
ble,47
meg,55
deg,34
ned,32
ved,43
hennes,42
andre,30
dette,35
hvor,38
to,50
mathias,42
her,34
før,26
ha,40
være,41
vil,44
selv,31
vært,39
visste,35
sto,27
kjente,23
fikk,33
støp,5
alle,40
siden,19
se,24
ja,48
sin,26
mens,28
skal,37
alt,33
måtte,24
rundt,31
spurte,34
ingen,30
la,47
når,34
skarre,27
hodet,31
under,17
hagen,27
jo,36
