Top sto besed,Frekvenca besed v DELU IV
og,1315
det,1039
på,947
han,943
i,830
som,660
en,655
var,641
at,653
hadde,536
å,559
til,539
ikke,505
harry,526
hun,433
av,416
er,419
med,432
så,399
den,376
jeg,420
seg,363
sa,367
du,366
de,346
for,293
et,291
men,249
om,287
har,229
fra,166
ut,157
ham,193
da,170
opp,159
vi,146
hva,136
mot,140
bare,124
noe,118
inn,112
over,103
kunne,120
der,77
kom,95
henne,111
gikk,90
hans,84
nå,96
ville,83
etter,82
eller,88
igjen,80
katrine,83
skulle,99
dem,74
noen,86
kan,84
ble,87
meg,66
deg,100
ned,66
ved,81
hennes,65
andre,60
dette,95
hvor,70
to,63
mathias,14
her,69
før,82
ha,62
være,70
vil,76
selv,71
vært,54
visste,60
sto,68
kjente,59
fikk,59
støp,136
alle,59
siden,55
se,50
ja,61
sin,59
mens,57
skal,55
alt,51
måtte,57
rundt,42
spurte,40
ingen,32
la,40
når,51
skarre,14
hodet,61
under,49
hagen,29
jo,44
