Top sto besed,Frekvenca besed v DELU V
og,685
det,515
på,434
han,579
i,440
som,312
en,315
var,331
at,281
hadde,271
å,246
til,250
ikke,233
harry,214
hun,174
av,211
er,175
med,193
så,213
den,228
jeg,181
seg,182
sa,148
du,158
de,156
for,145
et,100
men,127
om,105
har,73
fra,88
ut,94
ham,93
da,80
opp,101
vi,45
hva,47
mot,89
bare,60
noe,50
inn,64
over,67
kunne,82
der,52
kom,69
henne,55
gikk,51
hans,63
nå,47
ville,49
etter,48
eller,29
igjen,41
katrine,6
skulle,47
dem,49
noen,39
kan,19
ble,39
meg,46
deg,29
ned,59
ved,39
hennes,57
andre,35
dette,28
hvor,30
to,47
mathias,137
her,34
før,28
ha,22
være,32
vil,26
selv,20
vært,22
visste,40
sto,29
kjente,43
fikk,34
støp,3
alle,26
siden,34
se,31
ja,25
sin,29
mens,29
skal,18
alt,32
måtte,38
rundt,37
spurte,19
ingen,27
la,30
når,15
skarre,19
hodet,32
under,33
hagen,31
jo,21
