St. poglavja,Naslov poglavja,St. besed v poglavju
1,Snømannen,1629
2,Grusøynene,5276
3,Cochenille,2686
4,Forsvinningen,2861
5,Totempælen,3494
6,Cellular phone,3737
7,Mørketall,2130
8,Svanehals,2067
9,Hullet,4088
10,Kritt,4921
11,Dødsmaske,6258
12,Konversasjonen,3455
13,Papir,6475
14,Bergen,2753
15,Åttetall,3628
16,Curling,3625
17,Gode nyheter,1813
18,Utsikt,4438
19,TV,4252
20,Solbrillene,5553
21,Venterommet,2974
22,Match,1744
23,Mosaikk,4798
24,Toowoomba,3054
25,Deadline,2534
26,Tausheten,2443
27,Begynnelsen,3110
28,Sykdom,3134
29,Tåregass,2156
30,Syndebukk,1506
31,Sydpolen,3603
32,Kummene,3718
33,Snømannen,7016
34,Sirener,2651
35,Monster,5782
36,Tårnet,2120
37,Pappa,222
38,Svanene,1735
